STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_CMPT_FE_ZS,F,_T,_T,PT,_Z,_Z,_Z,1999,91.8434219360352,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary completion rate, female (% of relevant age group)",Female,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_CMPT_MA_ZS,M,_T,_T,PT,_Z,_Z,_Z,1999,92.0766372680664,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary completion rate, male (% of relevant age group)",Male,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_CMPT_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,91.9623336791992,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary completion rate, total (% of relevant age group)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_DURS,_T,_T,_T,YR,_Z,_Z,_Z,1999,4.0,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary education, duration (years)",Total,All age ranges or no breakdown by age,Total,Years,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_ENRL,_T,_T,_T,PPLS,_Z,_Z,_Z,1999,368321.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary education, pupils",Total,All age ranges or no breakdown by age,Total,Pupils,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_ENRL_FE_ZS,F,_T,_T,PT,_Z,_Z,_Z,1999,49.04309,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary education, pupils (% female)",Female,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_TCHR,_T,_T,_T,PS,_Z,_Z,_Z,1999,9753.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary education, teachers",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_TCHR_FE_ZS,F,_T,_T,PT,_Z,_Z,_Z,1999,53.798828125,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary education, teachers (% female)",Female,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_BM_GSR_FCTY_CD,_T,_T,_T,USD,_Z,_Z,_Z,1999,2.31516331470296E7,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary income payments (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_BX_GSR_FCTY_CD,_T,_T,_T,USD,_Z,_Z,_Z,1999,9.60293385098187E8,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Primary income receipts (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
